Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,D7
Bates School/Artblock 731,south end,2118.0,54,0,54,30.0,0.0,30.0,24,0,24.0,Ownership,Private,,,0
Bradley Properties,south end,2118.0,70,70,0,0.0,0.0,0.0,70,70,0.0,Rental,Private,,Y,0
Brownstone Apartments,south end,2118.0,75,75,0,0.0,0.0,0.0,75,75,0.0,Rental,Private,,Y,1
Casas Borinquen,south end,2118.0,36,36,0,0.0,0.0,0.0,36,36,0.0,Rental,Private,,Y,0
Castle Square,south end,2116.0,500,500,0,0.0,0.0,0.0,500,500,0.0,Rental,Private,,Y,0
Cathedral (2-6),south end,2118.0,414,414,0,0.0,0.0,0.0,414,414,0.0,Rental,Public,,,0
Clarendon Square,south end,2116.0,60,0,60,51.0,0.0,51.0,9,0,9.0,Ownership,Private,,,0
Clarendon-Warren Condominium,south end,2116.0,31,0,31,21.0,0.0,21.0,10,0,10.0,Ownership,Private,,,0
Concord Houses,south end,2118.0,181,181,0,10.0,10.0,0.0,171,171,0.0,Rental,Private,Y,,1
Concord St. Elder Housing,south end,2118.0,40,40,0,0.0,0.0,0.0,40,40,0.0,Rental,Private,Y,Y,0
D4 Police Station,south end,2136.0,26,0,26,24.0,0.0,24.0,2,0,2.0,Ownership,Private,,,0
Dover Lofts,south end,2118.0,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,,0
Dwight St Apts,south end,2118.0,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,,0
East Berkeley Street,south end,2118.0,35,11,24,12.0,0.0,12.0,23,11,12.0,Ownership/Rental,Private,,,0
East Canton St Apts,south end,2118.0,80,80,0,0.0,0.0,0.0,80,80,0.0,Rental,Private,Y,Y,0
East Springfield/Northampton Streets,south end,2118.0,10,0,10,1.0,0.0,1.0,9,0,9.0,Ownership,Private,,,0
Ebenezer Homes,south end,2118.0,32,32,0,0.0,0.0,0.0,32,32,0.0,Rental,Private,Y,Y,0
ETC Associates,south end,2118.0,71,71,0,0.0,0.0,0.0,71,71,0.0,Rental,Private,,Y,0
Eva White (2-41),south end,2116.0,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Public,Y,,0
Franklin Square House,south end,2118.0,193,193,0,0.0,0.0,0.0,193,193,0.0,Rental,Private,Y,Y,0
Frederick Douglass (2-44A),south end,2118.0,76,76,0,0.0,0.0,0.0,76,76,0.0,Rental,Public,Y,,1
Gatehouse Units,south end,2118.0,14,14,0,0.0,0.0,0.0,14,14,0.0,Rental,Private,,,0
Gateway Terrace - Dover Residences,south end,2119.0,133,0,133,120.0,0.0,120.0,13,0,13.0,Ownership,Private,,,0
Haley House,south end,2118.0,26,26,0,0.0,0.0,0.0,26,26,0.0,Rental,Private,,Y,0
Harrison Commons,south end,2118.0,196,9,187,186.0,0.0,186.0,10,9,1.0,Ownership/Rental,Private,,,0
Harrison-Albany Block Building A,south end,2118.0,299,299,0,269.0,269.0,0.0,30,30,0.0,Rental,Private,,,0
Historic South End Apartments,south end,2116.0,146,146,0,0.0,0.0,0.0,146,146,0.0,Rental,Private,,Y,1
Homes at Peter's Park,south end,2118.0,10,0,10,7.0,0.0,7.0,3,0,3.0,Ownership,Private,,,0
IBA SRO Collaborative,south end,2118.0,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,,,0
Ink Block (Buildings 1-3),south end,2118.0,315,315,0,274.0,274.0,0.0,41,41,0.0,Rental,Private,,,0
Ink Block Sepia (Building 4),south end,2118.0,77,0,77,69.0,0.0,69.0,8,0,8.0,Ownership,Private,,,0
Ink Block Siena (Building 5),south end,2118.0,76,0,76,74.0,0.0,74.0,2,0,2.0,Ownership,Private,,,0
Interfaith Apartments,south end,2118.0,69,69,0,0.0,0.0,0.0,69,69,0.0,Rental,Private,,Y,0
Laconia Condominiums,south end,2124.0,99,0,99,71.0,0.0,71.0,28,0,28.0,Ownership,Private,,,0
Lancaster House Condominium,south end,2118.0,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,,0
Langham Court,south end,2118.0,84,84,0,29.0,29.0,0.0,55,55,0.0,Rental,Private,,,1
Lawrence Court,south end,2116.0,12,0,12,9.0,0.0,9.0,3,0,3.0,Ownership,Private,,,0
Methunion Manor Coop,south end,2116.0,149,149,0,0.0,0.0,0.0,149,149,0.0,Rental,Private,,Y,0
Ming's Restaurant,south end,2118.0,38,38,0,37.0,37.0,0.0,1,1,0.0,Rental,Private,,,???
Minot Hall Condominium,south end,2118.0,45,0,45,42.0,0.0,42.0,3,0,3.0,Ownership,Private,,,1
Mystic Studios,south end,2118.0,32,32,0,26.0,26.0,0.0,6,6,0.0,Rental,Private,,,0
Penny Savings,south end,2118.0,23,0,23,21.0,0.0,21.0,2,0,2.0,Ownership,Private,,,0
Pine Street Harrison (SPO),south end,2118.0,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,,,0
Pine Street Inn (689-1),south end,2118.0,150,150,0,0.0,0.0,0.0,150,150,0.0,Rental,Public,,,0
Rollins Square - Parcel 32C,south end,2118.0,184,37,147,74.0,0.0,74.0,110,37,73.0,Ownership/Rental,Private,?,,0
Rutland Square,south end,2118.0,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,,1
Rutland/East Springfield St (2-74),south end,2118.0,13,13,0,0.0,0.0,0.0,13,13,0.0,Rental,Public,,,1
SECHC Cumston St,south end,2118.0,58,0,58,51.0,0.0,51.0,7,0,7.0,Ownership,Private,,,0
SETH APARTMENTS I,south end,2118.0,185,185,0,0.0,0.0,0.0,185,185,0.0,Rental,Private,,Y,0
Shawmut Ave Lodging House,south end,2118.0,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,,0
South End CHC,south end,2118.0,60,2,58,54.0,0.0,54.0,6,2,4.0,Ownership/Rental,Private,,,0
South End Coop. Housing,south end,2118.0,75,75,0,2.0,2.0,0.0,73,73,0.0,Rental,Private,,,1
South End Tenants I,south end,2118.0,100,100,0,0.0,0.0,0.0,100,100,0.0,Rental,Private,Y,Y,0
South End Tenants II,south end,2116.0,185,185,0,0.0,0.0,0.0,185,185,0.0,Rental,Private,,Y,0
St Helena House,south end,2118.0,74,74,0,1.0,1.0,0.0,73,73,0.0,Rental,Private,Y,Y,0
Suppressed1,south end,2118.0,17,17,0,0.0,0.0,0.0,17,17,0.0,Rental,Private,,,???
Suppressed16,south end,2118.0,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,,???
Suppressed21,south end,2118.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,???
Taino Tower,south end,2118.0,27,0,27,12.0,0.0,12.0,15,0,15.0,Ownership,Private,,,0
TDC III,south end,2118.0,61,61,0,46.0,46.0,0.0,15,15,0.0,Rental,Private,,,1
Tent City,south end,2116.0,270,270,0,0.0,0.0,0.0,270,270,0.0,Rental,Private,,,0
The 1850 Condominium,south end,2118.0,87,0,87,76.0,0.0,76.0,11,0,11.0,Ownership,Private,,,0
The Brownstones,south end,2116.0,35,35,0,28.0,28.0,0.0,7,7,0.0,Rental,Private,,,1
The Bryant,south end,2116.0,50,0,50,48.0,0.0,48.0,2,0,2.0,Ownership,Private,,,0
The Chester,south end,2118.0,17,17,0,7.0,7.0,0.0,10,10,0.0,Rental,Private,,Y,1
Torre Unidad (2-49),south end,2118.0,201,201,0,0.0,0.0,0.0,201,201,0.0,Rental,Public,Y,,0
Troy Boston,south end,2118.0,378,378,0,340.0,340.0,0.0,38,38,0.0,Rental,Private,,,0
Upton Street Lodging House,south end,2136.0,19,19,0,1.0,1.0,0.0,18,18,0.0,Rental,Private,,,0
Upton Street Lodging House Units,south end,2118.0,19,19,0,1.0,1.0,0.0,18,18,0.0,Rental,Private,,,0
Victoria Apartments,south end,2118.0,190,190,0,0.0,0.0,0.0,190,190,0.0,Rental,Private,,Y,0
Victory House,south end,2118.0,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,0
Viviendas Associates I,south end,2118.0,181,181,0,0.0,0.0,0.0,181,181,0.0,Rental,Private,,Y,0
Viviendas La Victoria II,south end,2118.0,190,190,0,0.0,0.0,0.0,190,190,0.0,Rental,Private,,,0
Wareham Lofts,south end,2118.0,28,0,28,25.0,0.0,25.0,3,0,3.0,Ownership,Private,,,0
Warren Avenue Apts,south end,2116.0,30,30,0,1.0,1.0,0.0,29,29,0.0,Rental,Private,,Y,0
Washington Manor (2-44C),south end,2118.0,77,77,0,0.0,0.0,0.0,77,77,0.0,Rental,Public,Y,,1
Waterford Place,south end,2118.0,40,40,0,14.0,14.0,0.0,26,26,0.0,Rental,Private,,,0
West Fenway Elderly,south end,2118.0,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,Y,,0
West Newton Street (2-58),south end,2118.0,149,149,0,0.0,0.0,0.0,149,149,0.0,Rental,Public,,,1
Wilkes Passage Loft Condominium,south end,2118.0,155,0,155,135.0,0.0,135.0,20,0,20.0,Ownership,Private,,,0
Worcester Square,south end,2118.0,31,31,0,0.0,0.0,0.0,31,31,0.0,Rental,Private,,,0
x & x St George Street Condominium,south end,2118.0,29,0,29,15.0,0.0,15.0,14,0,14.0,Ownership,Private,,,0
x Albany Street,south end,2118.0,40,0,40,35.0,0.0,35.0,5,0,5.0,Ownership,Private,,,0
x and 380 Harrison Ave,south end,2118.0,273,172,101,218.0,120.0,98.0,55,52,3.0,Ownership/Rental,Private,,,0
x Columbus Ave Conversion,south end,2116.0,62,0,62,54.0,0.0,54.0,8,0,8.0,Ownership,Private,,,1
x East Brookline,south end,2118.0,6,0,6,5.0,0.0,5.0,1,0,1.0,Ownership,Private,,,0
x East Springfield St,south end,2118.0,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,Y,0
x Greenwich Park*,south end,2118.0,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,,1
x Harrison Ave,south end,2118.0,585,585,0,527.0,527.0,0.0,58,58,0.0,Rental,Private,,,1
x Harrison Ave Condos,south end,2118.0,39,0,39,36.0,0.0,36.0,3,0,3.0,Ownership,Private,,,1
x Harrison Avenue,south end,2118.0,4,0,4,3.0,0.0,3.0,1,0,1.0,Ownership/Rental,Private,,,1
x Massachusetts Avenue,south end,2118.0,10,0,10,8.0,0.0,8.0,2,0,2.0,Ownership,Private,,,0
x Tremont,south end,2118.0,4,4,0,3.0,3.0,0.0,1,1,0.0,Rental,Private,,,0
x Tremont St,south end,2118.0,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,,0
x W Newton St,south end,2118.0,28,28,0,1.0,1.0,0.0,27,27,0.0,Rental,Private,,,0
x Wareham,south end,2118.0,18,0,18,16.0,0.0,16.0,2,0,2.0,Ownership,Private,,,0
x Washington St,south end,2118.0,15,15,0,,0.0,0.0,15,15,0.0,Rental,public,,,0
xx Albany St,south end,2118.0,180,180,0,156.0,156.0,0.0,24,24,0.0,Rental,Private,,,0
xx Harrison Ave,south end,2118.0,84,0,84,34.0,0.0,34.0,50,0,50.0,Ownership,Private,,,1
xxx Harrison Ave,south end,2118.0,225,162,63,194.0,137.0,57.0,31,25,6.0,Ownership/Rental,Private,,,1
xxxxxxx Washington St,south end,2118.0,33,33,0,2.0,2.0,0.0,31,31,0.0,Rental,Private,,,0
xxxxxxxx Washington St,south end,2119.0,31,0,31,27.0,0.0,27.0,4,0,4.0,Ownership,Private,,,0
YWCA Berkeley,south end,2116.0,208,208,0,168.0,168.0,0.0,40,40,0.0,Rental,Private,,,0
Zebra Condominium,south end,2118.0,10,7,3,7.0,7.0,0.0,3,0,3.0,Ownership/Rental,Private,,,1
